scenario,run-number,value,final,min,max,mean,ticks
A,30,sum [MDR-infected] of turtles,0,0,0,0,14
A,30,sum [open-area-infected] of turtles,0,0,0,0,14
A,30,sum [road-infected] of turtles,0,0,0,0,14
A,30,sum [forest-edge-infected] of turtles,0,0,0,0,14
A,31,R0-SEI,2.5625,0,3.375,2.205279813,1500
A,31,attack-rate,75,0,100,67.99633578,1500
A,31,sum [overall-infection] of turtles,381,0,381,180.2311792,1500
A,31,sum [forest-infected] of turtles,183,0,183,94.59427049,1500
A,31,sum [HDR-infected] of turtles,4,0,4,0.786142572,1500
A,31,sum [MDR-infected] of turtles,41,0,41,17.26382412,1500
A,31,sum [open-area-infected] of turtles,120,0,120,52.54163891,1500
A,31,sum [road-infected] of turtles,2,0,2,0.502998001,1500
A,31,sum [forest-edge-infected] of turtles,31,0,31,14.54230513,1500
A,32,R0-SEI,0,0,0,0,2
A,32,attack-rate,0,0,6.25,2.083333333,2
A,32,sum [overall-infection] of turtles,0,0,0,0,2
A,32,sum [forest-infected] of turtles,0,0,0,0,2
A,32,sum [HDR-infected] of turtles,0,0,0,0,2
A,32,sum [MDR-infected] of turtles,0,0,0,0,2
A,32,sum [open-area-infected] of turtles,0,0,0,0,2
A,32,sum [road-infected] of turtles,0,0,0,0,2
A,32,sum [forest-edge-infected] of turtles,0,0,0,0,2
A,33,R0-SEI,3.375,0,3.8125,2.125416389,1500
A,33,attack-rate,75,0,87.5,64.82345103,1500
A,33,sum [overall-infection] of turtles,416,0,416,194.847435,1500
A,33,sum [forest-infected] of turtles,212,0,212,95.24516989,1500
A,33,sum [HDR-infected] of turtles,12,0,12,4.293804131,1500
A,33,sum [MDR-infected] of turtles,37,0,37,17.81479014,1500
A,33,sum [open-area-infected] of turtles,115,0,115,55.41905396,1500
A,33,sum [road-infected] of turtles,0,0,0,0,1500
A,33,sum [forest-edge-infected] of turtles,40,0,40,22.07461692,1500
A,34,R0-SEI,0.125,0,0.125,0.071969697,32
A,34,attack-rate,0,0,6.25,5.871212121,32
A,34,sum [overall-infection] of turtles,2,0,2,1.151515152,32
A,34,sum [forest-infected] of turtles,2,0,2,1.151515152,32
A,34,sum [HDR-infected] of turtles,0,0,0,0,32
