scenario,run-number,value,final,min,max,mean,ticks
A,46,sum [overall-infection] of turtles,340,0,340,158.859427,1500
A,46,sum [forest-infected] of turtles,189,0,189,89.26782145,1500
A,46,sum [HDR-infected] of turtles,7,0,7,3.947368421,1500
A,46,sum [MDR-infected] of turtles,30,0,30,12.49966689,1500
A,46,sum [open-area-infected] of turtles,82,0,82,38.45303131,1500
A,46,sum [road-infected] of turtles,0,0,0,0,1500
A,46,sum [forest-edge-infected] of turtles,32,0,32,14.69153897,1500
A,47,R0-SEI,2.5,0,2.6875,1.85976016,1500
A,47,attack-rate,75,0,100,67.41339107,1500
A,47,sum [overall-infection] of turtles,337,0,337,169.8121252,1500
A,47,sum [forest-infected] of turtles,201,0,201,101.7241839,1500
A,47,sum [HDR-infected] of turtles,11,0,11,6.097268488,1500
A,47,sum [MDR-infected] of turtles,41,0,41,20.18187875,1500
A,47,sum [open-area-infected] of turtles,72,0,72,37.74616922,1500
A,47,sum [road-infected] of turtles,0,0,0,0,1500
A,47,sum [forest-edge-infected] of turtles,12,0,12,4.062624917,1500
A,48,R0-SEI,1.375,0,3.5,2.022151899,1500
A,48,attack-rate,50,0,87.5,61.90872751,1500
A,48,sum [overall-infection] of turtles,356,0,356,175.5889407,1500
A,48,sum [forest-infected] of turtles,209,0,209,102.0546302,1500
A,48,sum [HDR-infected] of turtles,11,0,11,4.760826116,1500
A,48,sum [MDR-infected] of turtles,39,0,39,17.21452365,1500
A,48,sum [open-area-infected] of turtles,83,0,83,44.66155896,1500
A,48,sum [road-infected] of turtles,2,0,2,1.112591606,1500
A,48,sum [forest-edge-infected] of turtles,12,0,12,5.784810127,1500
A,49,R0-SEI,1.6875,0,2.5,1.701240839,1500
A,49,attack-rate,87.5,0,93.75,64.51115923,1500
A,49,sum [overall-infection] of turtles,310,0,310,156.2151899,1500
A,49,sum [forest-infected] of turtles,183,0,183,92.7721519,1500
A,49,sum [HDR-infected] of turtles,3,0,3,1.454363757,1500
A,49,sum [MDR-infected] of turtles,38,0,38,17.93004664,1500
A,49,sum [open-area-infected] of turtles,65,0,65,34.46502332,1500
A,49,sum [road-infected] of turtles,0,0,0,0,1500
A,49,sum [forest-edge-infected] of turtles,21,0,21,9.593604264,1500
A,50,R0-SEI,2.6875,0,3.0625,1.977764823,1500
A,50,attack-rate,68.75,0,93.75,65.92271819,1500
A,50,sum [overall-infection] of turtles,336,0,336,159.8560959,1500
A,50,sum [forest-infected] of turtles,187,0,187,90.99533644,1500
A,50,sum [HDR-infected] of turtles,4,0,4,2.231845436,1500
